SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505725,HIND.EVEREST,X ,Q,54.15,54.15,54.15,54.15,54.15,58.00,1,30,1624.00,
505726,IFB IND.LTD.,B ,Q,883.85,897.85,858.40,877.45,878.90,880.35,111,434,380873.00,
505729,SINGER INDIA,X ,Q,47.75,48.75,47.75,48.20,47.90,48.25,73,9276,446496.00,
505737,INTER.COMBUS,X ,Q,242.60,250.00,239.60,246.00,246.00,243.10,36,159,38547.00,
505744,FED MOG GOE ,B ,Q,570.00,580.45,570.00,576.85,577.95,566.65,38,477,274673.00,
505750,JOSTS ENG.  ,X ,Q,651.00,699.00,650.00,660.00,660.00,665.00,13,119,79458.00,
505790,SCHAEFFLER  ,A ,Q,5468.85,5468.85,5420.00,5441.50,5420.00,5416.90,16,20,108942.00,
505800,RANE HOLDIN ,B ,Q,1190.00,1193.00,1183.10,1193.00,1193.00,1211.00,7,28,33295.00,
505827,SNL BEARINGS,X ,Q,322.95,322.95,305.10,305.10,305.10,306.00,6,12,3710.00,
505840,JAIPAN INDUS,X ,Q,16.35,17.50,16.35,17.50,17.50,17.80,4,275,4617.00,
505850,MANCREDIT   ,X ,Q,59.90,60.00,57.30,59.65,59.65,58.25,102,33820,1994178.00,
505854,TRF LTD.    ,B ,Q,130.30,132.40,129.20,131.35,131.50,131.65,69,2555,333339.00,
505872,WPIL LTD.   ,X ,Q,836.15,843.45,830.35,833.65,837.50,843.20,55,490,409133.00,
505890,KENNAMETAL  ,B ,Q,1089.80,1100.00,1072.00,1093.30,1100.00,1078.15,156,4135,4496895.00,
505978,TRITON VALVE,X ,Q,1021.10,1035.00,990.00,1000.60,1000.60,1031.80,56,438,446166.00,
506022,PRAKASH IND.,B ,Q,88.05,88.30,86.60,87.90,87.35,88.05,544,69971,6109383.00,
506027,BHORUKA ALU.,X ,Q,0.57,0.57,0.57,0.57,0.57,0.57,3,1020,581.00,
506074,ARSHIYA     ,B ,Q,36.20,36.20,34.25,34.55,34.55,35.90,239,13008,455983.00,
506076,GRIND NORTON,A ,Q,574.90,579.50,568.05,578.15,568.20,574.75,110,2974,1720632.00,
506105,STANROSE MAF,X ,Q,101.00,101.00,100.00,100.00,100.00,100.00,6,417,42000.00,
506109,GENESYS INT.,B ,Q,81.00,89.45,79.80,85.65,85.65,80.95,285,17669,1490226.00,
506122,PANKAJPIYUS ,X ,Q,48.60,48.60,44.15,48.15,48.50,46.40,16,64,3074.00,
506128,PARNAXLAB   ,X ,Q,33.50,33.50,33.50,33.50,33.50,32.65,1,1,33.00,
506146,VISAGAR POL ,B ,Q,0.55,0.55,0.53,0.55,0.55,0.54,13,62565,34039.00,
506184,KANANI IND  ,B ,Q,5.06,5.47,5.06,5.07,5.06,5.32,8,1522,7765.00,
506186,GCKL        ,XT,Q,37.05,40.95,37.05,40.95,40.95,39.00,3,748,29858.00,
506194,ARIH SUPER  ,T ,Q,58.10,58.10,55.65,57.05,57.35,57.75,26,2116,121980.00,
506197,BLISSGVS PH ,B ,Q,176.10,178.40,175.60,177.70,177.70,175.40,721,227047,40191451.00,
506222,INEOSSTYRO  ,B ,Q,538.00,543.10,531.55,536.90,541.50,542.15,61,209,112627.00,
506235,ALEMBIC LTD.,B ,Q,42.40,43.75,42.15,43.05,43.05,42.45,134,18340,791376.00,
506248,AMINES&PLAST,X ,Q,33.30,33.75,32.50,32.50,32.50,32.75,47,4381,143218.00,
506260,ANUH PHARMA ,X ,Q,135.00,135.00,133.00,134.25,134.95,134.95,66,3397,455596.00,
